date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:49	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20Sep%202021%2011:02:51%20GMT	https://nuvei.com/robots.txt		(from )
19:02:50	118824/118824	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:51%20GMT	https://nuvei.com/	C:/My%20Web%20Sites/nuvei/nuvei.com/index.html	(from )
19:02:50	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2011:02:52%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/nuvei/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.1.delayed	(from https://nuvei.com/)
19:02:50	7803/7803	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261026437-1e7b%22	https://client.crisp.chat/l.js	C:/My%20Web%20Sites/nuvei/client.crisp.chat/l.js	(from https://nuvei.com/)
19:02:51	22708/22708	---M-Z	200	added ('OK')	application/x-javascript	etag:%229c61059beee33aa0270d253c01f706d7%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/nuvei/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://nuvei.com/)
19:02:51	16845/16845	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b72-41cd%22	https://nuvei.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min.css?ver=2.4.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min747d.css	(from https://nuvei.com/)
19:02:53	53907/53907	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b61-d293%22	https://nuvei.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-includes/css/dist/block-library/style.min24b2.css	(from https://nuvei.com/)
19:02:53	115996/115996	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:53%20GMT	https://nuvei.com/fr-ca/	C:/My%20Web%20Sites/nuvei/nuvei.com/fr-ca/index.html	(from https://nuvei.com/)
19:02:55	109653/109653	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:55%20GMT	https://nuvei.com/es-us/	C:/My%20Web%20Sites/nuvei/nuvei.com/es-us/index.html	(from https://nuvei.com/)
19:02:55	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b73-a46%22	https://nuvei.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/contact-form-7/includes/css/styles91d5.css	(from https://nuvei.com/)
19:02:55	109730/109730	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:55%20GMT	https://nuvei.com/es/	C:/My%20Web%20Sites/nuvei/nuvei.com/es/index.html	(from https://nuvei.com/)
19:02:55	108324/108324	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:56%20GMT	https://nuvei.com/zh-hans/	C:/My%20Web%20Sites/nuvei/nuvei.com/zh-hans/index.html	(from https://nuvei.com/)
19:02:56	5461/5461	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b73-1555%22	https://nuvei.com/wp-content/plugins/cookie-notice/css/front.min.css?ver=5.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/cookie-notice/css/front.min24b2.css	(from https://nuvei.com/)
19:02:56	99904/99904	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:02:57%20GMT	https://nuvei.com/pt-br/	C:/My%20Web%20Sites/nuvei/nuvei.com/pt-br/index.html	(from https://nuvei.com/)
19:02:56	18223/18223	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225c3ffdcea263d146f8986836cbf58a6c-gzip%22	https://nuvei.com/feed/	C:/My%20Web%20Sites/nuvei/nuvei.com/feed/index.html	(from https://nuvei.com/)
19:02:56	751/751	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227d92d79422067103d3cff2af81639e13-gzip%22	https://nuvei.com/comments/feed/	C:/My%20Web%20Sites/nuvei/nuvei.com/comments/feed/index.html	(from https://nuvei.com/)
19:02:56	16047/16047	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6e-3eaf%22	https://nuvei.com/wp-content/plugins/wp-logo-showcase/assets/css/wplogoshowcase.css?ver=2.5.6	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/wp-logo-showcase/assets/css/wplogoshowcase2a47.css	(from https://nuvei.com/)
